,logline,Action,ID
177, getTodayTotalDetailSteps = 1514038440000##7030##548365##8661##14451##27187468,Step_SPUtils,30002312
1648,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
414, getTodayTotalDetailSteps = 1514038560000##7075##548564##8661##16256##27309470,Step_SPUtils,30002312
932,onExtend:1514039091000 0 0 5,Step_LSC,30002312
710,onExtend:1514038799000 3 0 4,Step_LSC,30002312
152,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1141,onStandStepChanged 3761,Step_LSC,30002312
1907,calculateAltitudeWithCache totalAltitude=0,Step_ExtSDM,30002312
82,onStandStepChanged 3589,Step_LSC,30002312
1126,onStandStepChanged 3761,Step_LSC,30002312
218,onExtend:1514038548000 1 0 4,Step_LSC,30002312
547, getTodayTotalDetailSteps = 1514038560000##7106##548583##8661##16256##27320969,Step_SPUtils,30002312
59,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
649,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1780,reStartStepCounter,Step_StandStepCounter,30002312
1879, getTodayTotalDetailSteps = 1514045280000##0##549659##8661##16256##33990761,Step_SPUtils,30002312
953,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1208,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
762,"new date =20171223, type=40013,410.0,old=410.0",HiH_DataStatManager,30002312
1565,onExtend:1514043610000 0 0 5,Step_LSC,30002312
1716,onStandStepChanged 3786,Step_LSC,30002312
1805,setTodayTotalDetailSteps=1514044740000##0##549659##8661##16256##33444943,Step_SPUtils,30002312
1429,REPORT : 7214 5150 154523 240,Step_StandReportReceiver,30002312
1911,setTodayTotalDetailSteps=1514045340000##0##549659##8661##16256##34087759,Step_SPUtils,30002312
363,REPORT : 7064 5043 151310 240,Step_StandReportReceiver,30002312
1468,onReceive action: android.intent.action.SCREEN_ON,Step_StandReportReceiver,30002312
1176,onStandStepChanged 3761,Step_LSC,30002312
937,onStandStepChanged 3761,Step_LSC,30002312
660, getTodayTotalDetailSteps = 1514038680000##7139##548905##8661##16256##27396473,Step_SPUtils,30002312
10,onExtend:1514038530000 0 0 4,Step_LSC,30002312
671,REPORT : 7154 5107 153238 240,Step_StandReportReceiver,30002312
1188,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
279,REPORT : 7047 5031 150946 240,Step_StandReportReceiver,30002312
1299, getTodayTotalDetailSteps = 1514041560000##7189##549659##8661##16256##30315546,Step_SPUtils,30002312
112,onStandStepChanged 3594,Step_LSC,30002312
1236,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
1243,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1760,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1409,onStandStepChanged 3783,Step_LSC,30002312
748,"initDataPrivacy the dataPrivacy switch is open, start push health data!",HiH_HiSyncControl,30002312
474,REPORT : 7092 5063 151910 240,Step_StandReportReceiver,30002312
1466,onExtend:1514042262000 0 0 0,Step_LSC,30002312
582,onExtend:1514038686000 1 0 4,Step_LSC,30002312
1073,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
265,REPORT : 7044 5029 150882 240,Step_StandReportReceiver,30002312
1634,setTodayTotalDetailSteps=1514044320000##7214##549659##8661##16256##33041763,Step_SPUtils,30002312
1758,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
199,setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969,Step_SPUtils,30002312
68,calculateCaloriesWithCache totalCalories=126989,Step_ExtSDM,30002312
393,onExtend:1514038645000 3 0 4,Step_LSC,30002312
1682, getTodayTotalDetailSteps = 1514044380000##7214##549659##8661##16256##33112771,Step_SPUtils,30002312
1531,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1966,calculateCaloriesWithCache totalCalories=0,Step_ExtSDM,30002312
928,setTodayTotalDetailSteps=1514038980000##7189##549659##8661##16256##27706835,Step_SPUtils,30002312
1899,setTodayTotalDetailSteps=1514045340000##0##549659##8661##16256##34054759,Step_SPUtils,30002312
388,setTodayTotalDetailSteps=1514038560000##7071##548561##8661##16256##27288973,Step_SPUtils,30002312
1344,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
1526,onExtend:1514042945000 0 0 0,Step_LSC,30002312
646, getTodayTotalDetailSteps = 1514038680000##7132##548895##8661##16256##27395468,Step_SPUtils,30002312
1687,onExtend:1514044474000 0 0 5,Step_LSC,30002312
614,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1080, getTodayTotalDetailSteps = 1514039880000##7189##549659##8661##16256##28609933,Step_SPUtils,30002312
365,onExtend:1514038643000 2 0 4,Step_LSC,30002312
1246,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1182,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
588,onStandStepChanged 3686,Step_LSC,30002312
1795,calculateCaloriesWithCache totalCalories=0,Step_ExtSDM,30002312
163, getTodayTotalDetailSteps = 1514038440000##7028##548365##8661##14261##27185977,Step_SPUtils,30002312
1258,onExtend:1514041566000 0 0 5,Step_LSC,30002312
274,onExtend:1514038554000 2 0 4,Step_LSC,30002312
898,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
1618,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
125,REPORT : 7023 5014 150432 240,Step_StandReportReceiver,30002312
1306, getTodayTotalDetailSteps = 1514041620000##7189##549659##8661##16256##30333554,Step_SPUtils,30002312
1384,setTodayTotalDetailSteps=1514041980000##7200##549659##8661##16256##30729733,Step_SPUtils,30002312
1054,onExtend:1514039977000 0 0 0,Step_LSC,30002312
495,REPORT : 7097 5067 152017 240,Step_StandReportReceiver,30002312
1897,onExtend:1514045410000 0 0 0,Step_LSC,30002312
1960,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1566, getTodayTotalDetailSteps = 1514043360000##7214##549659##8661##16256##32080760,Step_SPUtils,30002312
1008,"initDataPrivacy the dataPrivacy switch is open, start push health data!",HiH_HiSyncControl,30002312
1851,onStandStepChanged 3786,Step_LSC,30002312
1930,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1956,setTodayTotalDetailSteps=1514046240000##0##549659##8661##16256##34961757,Step_SPUtils,30002312
1425, getTodayTotalDetailSteps = 1514041980000##7212##549659##8661##16256##30732729,Step_SPUtils,30002312
1808,onStandStepChanged 3786,Step_LSC,30002312
1454,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
708,getBinderPackageName packageName = com.huawei.health,HiH_HiAppUtil,30002312
461,onStandStepChanged 3662,Step_LSC,30002312
1186, getTodayTotalDetailSteps = 1514040720000##7189##549659##8661##16256##29425847,Step_SPUtils,30002312
1286,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
1630,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1940,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1507,onExtend:1514042599000 0 0 0,Step_LSC,30002312
763,"new date =20171223, type=40034,292.73999999999995,old=292.73999999999995",HiH_DataStatManager,30002312
446,REPORT : 7084 5057 151739 240,Step_StandReportReceiver,30002312
747,"saveHealthDetailData() deviceID = 2,clientID=1,id=1",HiH_HiHealthDataInsertStore,30002312
955,onExtend:1514039112000 0 0 5,Step_LSC,30002312
1697,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1068, getTodayTotalDetailSteps = 1514039880000##7189##549659##8661##16256##28609620,Step_SPUtils,30002312
1490,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1284, getTodayTotalDetailSteps = 1514041560000##7189##549659##8661##16256##30271693,Step_SPUtils,30002312
1608,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
750,"initUserPrivacy the userPrivacy switch is open, start push user data!",HiH_HiSyncControl,30002312
1002,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1720,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
951,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
7,calculateCaloriesWithCache totalCalories=126775,Step_ExtSDM,30002312
1453,onStandStepChanged 3786,Step_LSC,30002312
1214,setTodayTotalDetailSteps=1514040780000##7189##549659##8661##16256##29539649,Step_SPUtils,30002312
1725, getTodayTotalDetailSteps = 1514044380000##7214##549659##8661##16256##33140770,Step_SPUtils,30002312
1885, getTodayTotalDetailSteps = 1514045280000##0##549659##8661##16256##34018758,Step_SPUtils,30002312
782,"startInsertSportSync start auto sync,app is 1",HiH_HiSyncControl,30002312
1756, getTodayTotalDetailSteps = 1514044500000##7214##549659##8661##16256##33232763,Step_SPUtils,30002312
1812,calculateCaloriesWithCache totalCalories=0,Step_ExtSDM,30002312
378,onStandStepChanged 3642,Step_LSC,30002312
1797,REPORT : 0 0 0 0,Step_StandReportReceiver,30002312
391,REPORT : 7071 5048 151460 240,Step_StandReportReceiver,30002312
56, getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,Step_SPUtils,30002312
1257,onExtend:1514041506000 0 0 5,Step_LSC,30002312
1435,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
980,setTodayTotalDetailSteps=1514039400000##7189##549659##8661##16256##28136544,Step_SPUtils,30002312
1865,onStandStepChanged 3786,Step_LSC,30002312
759,"new date =20171223, type=40011,6314.0,old=6137.0",HiH_DataStatManager,30002312
117,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
227,setTodayTotalDetailSteps=1514038440000##7038##548365##8661##15211##27192478,Step_SPUtils,30002312
497,onExtend:1514038672000 2 0 4,Step_LSC,30002312
420,onExtend:1514038666000 2 0 4,Step_LSC,30002312
239,onExtend:1514038550000 1 0 4,Step_LSC,30002312
1491,onStandStepChanged 3786,Step_LSC,30002312
1783,clear(),Step_DataCache,30002312
981,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
416,calculateCaloriesWithCache totalCalories=128274,Step_ExtSDM,30002312
402,setTodayTotalDetailSteps=1514038560000##7074##548563##8661##16256##27292475,Step_SPUtils,30002312
1609,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
752,ifCanSync not! no cloud version,HiH_HiSyncControl,30002312
767,"new date =20171223, type=40006,7140.0,old=6900.0",HiH_DataStatManager,30002312
921,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
1533,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1603,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
336,onStandStepChanged 3630,Step_LSC,30002312
1308,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
640,setTodayTotalDetailSteps=1514038680000##7132##548895##8661##16256##27395468,Step_SPUtils,30002312
1994,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
427,onExtend:1514038667000 2 0 4,Step_LSC,30002312
567,onStandStepChanged 3684,Step_LSC,30002312
130,calculateCaloriesWithCache totalCalories=127139,Step_ExtSDM,30002312
1796,calculateAltitudeWithCache totalAltitude=0,Step_ExtSDM,30002312
867,onExtend:1514038805000 1 0 4,Step_LSC,30002312
631,onExtend:1514038751000 2 0 4,Step_LSC,30002312
1104,onExtend:1514040697000 0 0 0,Step_LSC,30002312
1842,setTodayTotalDetailSteps=1514045160000##0##549659##8661##16256##33866758,Step_SPUtils,30002312
1207,setTodayTotalDetailSteps=1514040720000##7189##549659##8661##16256##29437358,Step_SPUtils,30002312
1941,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1921,onStandStepChanged 3786,Step_LSC,30002312
1904, getTodayTotalDetailSteps = 1514045340000##0##549659##8661##16256##34054759,Step_SPUtils,30002312
799,calculateCaloriesWithCache totalCalories=130159,Step_ExtSDM,30002312
1873, getTodayTotalDetailSteps = 1514045280000##0##549659##8661##16256##33988760,Step_SPUtils,30002312
1823,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
765,"new date =20171223, type=40041,6720.0,old=6480.0",HiH_DataStatManager,30002312
1561,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
154,onStandStepChanged 3600,Step_LSC,30002312
435, getTodayTotalDetailSteps = 1514038560000##7081##548567##8661##16256##27310970,Step_SPUtils,30002312
456, getTodayTotalDetailSteps = 1514038560000##7086##548570##8661##16256##27312467,Step_SPUtils,30002312
1387,REPORT : 7200 5140 154223 240,Step_StandReportReceiver,30002312
1558,setTodayTotalDetailSteps=1514043360000##7214##549659##8661##16256##32080760,Step_SPUtils,30002312
254, getTodayTotalDetailSteps = 1514038440000##7041##548365##8661##15496##27194480,Step_SPUtils,30002312
424,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
483,onExtend:1514038671000 1 0 4,Step_LSC,30002312
1676, getTodayTotalDetailSteps = 1514044320000##7214##549659##8661##16256##33081765,Step_SPUtils,30002312
85,onExtend:1514038536000 1 0 4,Step_LSC,30002312
1852,onExtend:1514045240000 0 0 5,Step_LSC,30002312
1089,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
960,onExtend:1514039412000 0 0 0,Step_LSC,30002312
250,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1733,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
404,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
618, getTodayTotalDetailSteps = 1514038680000##7124##548875##8661##16256##27393470,Step_SPUtils,30002312
332,setTodayTotalDetailSteps=1514038560000##7056##548553##8661##16256##27284971,Step_SPUtils,30002312
1440, getTodayTotalDetailSteps = 1514041980000##7214##549659##8661##16256##30736730,Step_SPUtils,30002312
1448,onReceive action: android.intent.action.SCREEN_ON,Step_StandReportReceiver,30002312
1418, getTodayTotalDetailSteps = 1514041980000##7211##549659##8661##16256##30731730,Step_SPUtils,30002312
563,setTodayTotalDetailSteps=1514038620000##7111##548640##8661##16256##27324478,Step_SPUtils,30002312
1512,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1517,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
350,onStandStepChanged 3634,Step_LSC,30002312
1515,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1197,setTodayTotalDetailSteps=1514040720000##7189##549659##8661##16256##29437037,Step_SPUtils,30002312
1109,setTodayTotalDetailSteps=1514040600000##7189##549659##8661##16256##29341612,Step_SPUtils,30002312
202,REPORT : 7034 5022 150668 240,Step_StandReportReceiver,30002312
1312,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
880,onStandStepChanged 3760,Step_LSC,30002312
1360,onStandStepChanged 3765,Step_LSC,30002312
967,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
684,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,Step_LSC,30002312
863,calculateCaloriesWithCache totalCalories=130587,Step_ExtSDM,30002312
1372,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1432, getTodayTotalDetailSteps = 1514041980000##7214##549659##8661##16256##30733226,Step_SPUtils,30002312
1131,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1947,onStandStepChanged 3786,Step_LSC,30002312
119,onStandStepChanged 3595,Step_LSC,30002312
392,onStandStepChanged 3646,Step_LSC,30002312
1364,calculateCaloriesWithCache totalCalories=130758,Step_ExtSDM,30002312
1165,onExtend:1514040776000 0 0 5,Step_LSC,30002312
1632,onExtend:1514044397000 0 0 0,Step_LSC,30002312
187,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
697,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1166,onExtend:1514040836000 0 0 0,Step_LSC,30002312
1239,onReceive action: android.intent.action.SCREEN_OFF,Step_StandReportReceiver,30002312
1052,onExtend:1514039857000 0 0 5,Step_LSC,30002312
1,onReceive action: android.intent.action.SCREEN_ON,Step_StandReportReceiver,30002312
1582,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
995,REPORT : 7189 5132 153988 240,Step_StandReportReceiver,30002312
1660,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
147,onStandStepChanged 3599,Step_LSC,30002312
1654,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1993,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1896,onStandStepChanged 3786,Step_LSC,30002312
1056,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,Step_LSC,30002312
1158,onExtend:1514040772000 0 0 5,Step_LSC,30002312
289, getTodayTotalDetailSteps = 1514038440000##7048##548365##8661##15971##27198970,Step_SPUtils,30002312
201,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
850,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1759,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
566,REPORT : 7111 5077 152317 240,Step_StandReportReceiver,30002312
108,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,Step_SPUtils,30002312
1886,setTodayTotalDetailSteps=1514045280000##0##549659##8661##16256##34019759,Step_SPUtils,30002312
1412,setTodayTotalDetailSteps=1514041980000##7211##549659##8661##16256##30731730,Step_SPUtils,30002312
1305,onExtend:1514041699000 0 0 5,Step_LSC,30002312
957,onExtend:1514039232000 0 0 5,Step_LSC,30002312
1696,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
1332,REPORT : 7189 5132 153988 240,Step_StandReportReceiver,30002312
1653,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
390,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
549,calculateCaloriesWithCache totalCalories=128917,Step_ExtSDM,30002312
442, getTodayTotalDetailSteps = 1514038560000##7083##548568##8661##16256##27311472,Step_SPUtils,30002312
1471,onStandStepChanged 3786,Step_LSC,30002312
756,"new date =20171223, type=40004,4800.935999999999,old=5112.0",HiH_DataStatManager,30002312
1518,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
875, getTodayTotalDetailSteps = 1514038740000##7186##549404##8661##16256##27448983,Step_SPUtils,30002312
1263,onStandStepChanged 3761,Step_LSC,30002312
686, getTodayTotalDetailSteps = 1514038680000##7154##548920##8661##16256##27400475,Step_SPUtils,30002312
